number,opened_at,short_description,description,priority,category,urgency,state,resolved_at,closed_at,caller,assignment_group,assigned_to,impact,location,sla_due,knowledge_match
INC100001,2025-08-08 02:32:02,Disk space running low,Disk space running low. No recent changes reported. Started after latest patch. Compliance risk if not resolved quickly.,High,Software,Low,Open,,,alice,Service Desk,,High,Bengaluru,2025-08-08 06:32:02,
INC100002,2025-07-17 17:12:37,Two-factor authentication issue,Two-factor authentication issue. Customer-facing impact reported.,Moderate,Access,Low,Open,,,grace,Systems,tech2,High,Bengaluru,2025-07-18 17:12:37,KB-1001
INC100003,2025-07-12 13:36:16,Service outage reported,Service outage reported. Impacts finance team deadlines.,Moderate,Network,Medium,Resolved,2025-07-12 19:36:16,,bob,Applications,tech2,Low,Gurugram,2025-07-13 13:36:16,
INC100004,2025-07-17 09:34:48,Password reset required,Password reset required. Happens only on corporate network. Happens on Windows and macOS.,Moderate,Software,High,Resolved,2025-07-17 20:34:48,,frank,Network,tech2,Medium,Bengaluru,2025-07-18 09:34:48,KB-1001
INC100005,2025-08-06 15:14:12,Two-factor authentication issue,Two-factor authentication issue. No recent changes reported. Tried clearing cache and cookies. Requires admin privileges to fix.,Moderate,Software,Medium,Open,,,alice,Network,,Medium,Pune,2025-08-07 15:14:12,KB-1001
INC100006,2025-07-18 07:21:38,Malware alert flagged,Malware alert flagged. Happens on Windows and macOS. Blocking deployment to production. Happens only on corporate network.,Low,Other,Medium,In Progress,,,charlie,Network,tech4,Low,Hyderabad,2025-07-20 07:21:38,
INC100007,2025-07-27 10:52:59,Build pipeline failing,Build pipeline failing. Occurs intermittently.,Moderate,Software,Low,On Hold,,,charlie,Network,tech3,Low,Chennai,2025-07-29 10:52:59,KB-4520
INC100008,2025-08-05 23:48:29,Disk space running low,Disk space running low. Happens only on corporate network. Requires admin privileges to fix. Occurs intermittently.,Low,Security,Medium,Closed,2025-08-06 01:48:29,2025-08-07 21:48:29,eve,Security,tech1,Medium,Chennai,2025-08-06 23:48:29,
INC100009,2025-08-14 01:17:53,SAML login failing,SAML login failing. Blocking deployment to production.,High,Other,Low,In Progress,,,frank,Network,tech4,Low,Chennai,2025-08-15 01:17:53,KB-4520
INC100010,2025-07-09 00:14:23,Phone system down,Phone system down. Started after latest patch.,High,Network,Medium,Open,,,harry,Service Desk,tech4,High,Bengaluru,2025-07-11 00:14:23,
INC100011,2025-07-16 01:56:04,High CPU on server,High CPU on server. Impacts finance team deadlines. Requested escalation to L3.,High,Access,Low,Closed,2025-07-21 00:56:04,2025-07-22 11:56:04,harry,Applications,tech3,High,Bengaluru,2025-07-16 09:56:04,KB-1001
INC100012,2025-07-24 11:26:45,High CPU on server,High CPU on server. Happening for multiple users. Tried clearing cache and cookies. Started after latest patch.,Critical,Security,Medium,Open,,,alice,Systems,,Low,Bengaluru,2025-07-25 11:26:45,KB-4520
INC100013,2025-07-18 11:09:06,S3 access denied,S3 access denied. Compliance risk if not resolved quickly. Logs attached for review.,Moderate,Security,Low,On Hold,,,bob,Service Desk,tech3,Medium,Pune,2025-07-20 11:09:06,KB-4520
INC100014,2025-08-18 23:59:25,Kubernetes pod restart loop,Kubernetes pod restart loop. Occurs intermittently. Tried clearing cache and cookies.,Moderate,Other,Medium,Open,,,diana,Network,tech4,Medium,Bengaluru,2025-08-20 23:59:25,KB-2044
INC100015,2025-07-21 14:04:35,Password reset required,Password reset required. No recent changes reported.,Moderate,Hardware,Low,In Progress,,,alice,Service Desk,tech1,High,Pune,2025-07-23 14:04:35,KB-4520
INC100016,2025-07-18 10:34:53,Two-factor authentication issue,Two-factor authentication issue. Possible DNS resolution issue. Compliance risk if not resolved quickly.,Low,Software,Low,In Progress,,,harry,Network,tech1,Medium,Bengaluru,2025-07-18 14:34:53,
INC100017,2025-08-12 18:44:37,Database connection timeout,Database connection timeout. Customer-facing impact reported. Happening for multiple users. Started after latest patch.,Moderate,Hardware,Low,Open,,,charlie,Service Desk,tech4,High,Remote,2025-08-13 02:44:37,KB-4520
INC100018,2025-07-13 21:13:32,Email not syncing,Email not syncing. Related to recent configuration change. Requires admin privileges to fix.,Low,Security,Medium,On Hold,,,eve,Network,tech2,High,Hyderabad,2025-07-15 21:13:32,KB-2044
INC100019,2025-08-09 16:07:24,Phone system down,Phone system down. Started after latest patch.,Moderate,Hardware,Medium,Open,,,diana,Applications,tech2,High,Hyderabad,2025-08-09 20:07:24,KB-2044
INC100020,2025-07-26 00:04:40,Disk space running low,Disk space running low. Possible DNS resolution issue. Occurs intermittently. Blocking deployment to production.,High,Security,Medium,Resolved,2025-07-28 20:04:40,,eve,Service Desk,,Low,Gurugram,2025-07-26 08:04:40,KB-3102
INC100021,2025-07-21 17:49:03,Cannot connect to Wi-Fi,Cannot connect to Wi-Fi. Happening for multiple users. Started after latest patch.,Moderate,Software,Low,Resolved,2025-07-23 03:49:03,,grace,Systems,,High,Hyderabad,2025-07-22 01:49:03,KB-3102
INC100022,2025-07-15 21:48:15,Email not syncing,Email not syncing. Blocking deployment to production. Happening for multiple users. Requested escalation to L3.,Moderate,Access,Medium,On Hold,,,charlie,Security,tech1,High,Hyderabad,2025-07-16 21:48:15,KB-1001
INC100023,2025-08-20 16:52:15,SSL cert expired,SSL cert expired. Blocking deployment to production. Tried clearing cache and cookies. Customer-facing impact reported.,Moderate,Other,Medium,Open,,,charlie,Security,,High,Remote,2025-08-21 16:52:15,KB-4520
INC100024,2025-08-16 00:13:10,Malware alert flagged,Malware alert flagged. User located in remote site.,Moderate,Software,Low,In Progress,,,diana,Network,tech3,Medium,Hyderabad,2025-08-16 08:13:10,KB-2044
INC100025,2025-07-09 05:07:07,API rate limit exceeded,API rate limit exceeded. Impacts finance team deadlines. Requires admin privileges to fix. Issue persists after reboot.,Moderate,Network,Medium,Closed,2025-07-13 08:07:07,2025-07-14 02:07:07,bob,Systems,tech1,Low,Hyderabad,2025-07-09 09:07:07,KB-1001
INC100026,2025-08-06 00:36:13,Password reset required,Password reset required. Logs attached for review. Happens only on corporate network.,Moderate,Network,Low,In Progress,,,alice,Security,,Low,Gurugram,2025-08-06 08:36:13,KB-3102
INC100027,2025-07-29 00:02:44,Database connection timeout,Database connection timeout. Compliance risk if not resolved quickly. Requires admin privileges to fix.,Critical,Network,Medium,Resolved,2025-07-29 16:02:44,,grace,Systems,tech4,High,Bengaluru,2025-07-31 00:02:44,KB-4520
INC100028,2025-08-09 22:40:49,Jira webhook failing,Jira webhook failing. Possible DNS resolution issue.,Moderate,Security,High,In Progress,,,eve,Network,tech3,Low,Gurugram,2025-08-10 22:40:49,KB-4520
INC100029,2025-07-29 12:15:56,New software install request,New software install request. Requires admin privileges to fix. Started after latest patch. Tried clearing cache and cookies.,Moderate,Access,Medium,Resolved,2025-07-30 10:15:56,,eve,Network,tech1,High,Chennai,2025-07-29 16:15:56,KB-2044
INC100030,2025-07-31 03:07:18,Printer offline,Printer offline. Impacts finance team deadlines. User located in remote site. No recent changes reported.,Moderate,Access,Low,In Progress,,,diana,Network,,High,Pune,2025-07-31 11:07:18,KB-2044
INC100031,2025-08-16 02:24:13,Outlook crashes on launch,Outlook crashes on launch. Happens on Windows and macOS.,Low,Hardware,Medium,On Hold,,,frank,Security,tech4,Low,Gurugram,2025-08-18 02:24:13,
INC100032,2025-07-29 17:04:29,Jira webhook failing,Jira webhook failing. Happens only on corporate network. Related to recent configuration change. User located in remote site.,Low,Access,Low,In Progress,,,diana,Systems,tech3,High,Remote,2025-07-30 17:04:29,KB-2044
INC100033,2025-07-21 06:07:07,Malware alert flagged,Malware alert flagged. Blocking deployment to production. Logs attached for review. Started after latest patch.,High,Hardware,Low,Open,,,grace,Security,tech2,Low,Pune,2025-07-23 06:07:07,KB-1001
INC100034,2025-07-18 02:31:38,Cannot connect to Wi-Fi,Cannot connect to Wi-Fi. Requested escalation to L3.,Low,Security,Medium,Closed,2025-07-18 05:31:38,2025-07-19 18:31:38,eve,Security,tech3,Low,Remote,2025-07-18 10:31:38,KB-4520
INC100035,2025-07-18 17:11:33,Kubernetes pod restart loop,Kubernetes pod restart loop. Happens on Windows and macOS.,High,Access,Medium,In Progress,,,charlie,Applications,tech4,High,Pune,2025-07-18 21:11:33,KB-1001
INC100036,2025-08-08 06:24:19,Network latency in office,Network latency in office. Happens on Windows and macOS.,Moderate,Software,Low,Open,,,frank,Systems,tech3,Medium,Pune,2025-08-09 06:24:19,KB-1001
INC100037,2025-07-30 21:29:41,Build pipeline failing,Build pipeline failing. Happening for multiple users. Issue persists after reboot. Tried clearing cache and cookies.,Critical,Network,Medium,Open,,,diana,Service Desk,tech4,High,Bengaluru,2025-07-31 05:29:41,KB-4520
INC100038,2025-08-09 13:31:25,SAML login failing,SAML login failing. Occurs intermittently. Customer-facing impact reported. Possible DNS resolution issue.,High,Access,Low,Resolved,2025-08-11 13:31:25,,bob,Applications,,Medium,Gurugram,2025-08-11 13:31:25,KB-4520
INC100039,2025-08-11 18:36:01,Disk space running low,Disk space running low. Occurs intermittently. Happening for multiple users. Requested escalation to L3.,High,Other,Medium,Open,,,grace,Systems,,Low,Remote,2025-08-12 18:36:01,KB-1001
INC100040,2025-08-18 07:22:30,SSL cert expired,SSL cert expired. Related to recent configuration change.,Moderate,Access,Medium,Closed,2025-08-21 17:22:30,2025-08-22 23:22:30,eve,Applications,tech4,Medium,Pune,2025-08-20 07:22:30,
INC100041,2025-07-21 02:15:04,Blue screen error,Blue screen error. Impacts finance team deadlines. Requires admin privileges to fix.,High,Hardware,Medium,In Progress,,,alice,Security,tech2,High,Pune,2025-07-21 10:15:04,KB-3102
INC100042,2025-08-15 19:05:23,Laptop won't boot,Laptop won't boot. Logs attached for review. Started after latest patch. Tried clearing cache and cookies.,High,Security,Medium,Resolved,2025-08-17 07:05:23,,grace,Security,tech4,High,Remote,2025-08-17 19:05:23,KB-4520
INC100043,2025-07-29 19:42:32,New software install request,New software install request. Requested escalation to L3. User located in remote site. No recent changes reported.,Low,Software,High,In Progress,,,grace,Applications,tech2,Medium,Remote,2025-07-31 19:42:32,KB-3102
INC100044,2025-07-22 22:47:22,Build pipeline failing,Build pipeline failing. Customer-facing impact reported. Logs attached for review. Related to recent configuration change.,High,Software,High,In Progress,,,harry,Systems,tech4,Low,Gurugram,2025-07-23 22:47:22,KB-1001
INC100045,2025-08-17 11:37:48,Access denied to shared drive,Access denied to shared drive. Happening for multiple users. No recent changes reported.,High,Software,Medium,In Progress,,,eve,Network,tech3,High,Chennai,2025-08-18 11:37:48,KB-4520
INC100046,2025-07-31 07:17:24,Password reset required,Password reset required. Impacts finance team deadlines.,Moderate,Hardware,High,In Progress,,,harry,Service Desk,tech4,Low,Remote,2025-07-31 11:17:24,KB-2044
